series_ticker,market_ticker,end_period_ts,end_period_utc,volume,open_interest,price_open,price_high,price_low,price_close,yes_bid_close,yes_ask_close
KXB200W,KXB200W-26SEP04-6.01,1787976000,2026-08-29T04:00:00+00:00,0.00,0.00,,,,,0.4500,0.5500
KXB200W,KXB200W-26SEP04-6.01,1788062400,2026-08-30T04:00:00+00:00,0.00,0.00,,,,,0.4900,0.5900
KXH200MAX,KXH200MAX-26DEC31-6.690,1785556800,2026-08-01T04:00:00+00:00,235.52,1194.53,0.2400,0.4600,0.2300,0.4000,0.1500,0.4000
KXH200MAX,KXH200MAX-26DEC31-6.690,1785643200,2026-08-02T04:00:00+00:00,30.00,1216.53,0.3200,0.3200,0.3200,0.3200,0.3400,0.3700
KXH200MAX,KXH200MAX-26DEC31-6.690,1785729600,2026-08-03T04:00:00+00:00,31.00,1197.53,0.3700,0.3700,0.2900,0.3700,0.2000,0.3700
KXH200MAX,KXH200MAX-26DEC31-6.690,1785816000,2026-08-04T04:00:00+00:00,0.00,1197.53,,,,,0.2700,0.3700
KXH200MAX,KXH200MAX-26DEC31-6.690,1785902400,2026-08-05T04:00:00+00:00,5.00,1202.53,0.3700,0.3700,0.3700,0.3700,0.4100,0.7900
KXH200MAX,KXH200MAX-26DEC31-6.690,1785988800,2026-08-06T04:00:00+00:00,0.00,1202.53,,,,,0.3000,0.6100
KXH200MAX,KXH200MAX-26DEC31-6.690,1786075200,2026-08-07T04:00:00+00:00,0.00,1202.53,,,,,0.3400,0.5500
KXH200MAX,KXH200MAX-26DEC31-6.690,1786161600,2026-08-08T04:00:00+00:00,0.00,1202.53,,,,,0.3500,0.5500
KXH200MAX,KXH200MAX-26DEC31-6.690,1786248000,2026-08-09T04:00:00+00:00,0.00,1202.53,,,,,0.3600,0.5500
KXH200MAX,KXH200MAX-26DEC31-6.690,1786334400,2026-08-10T04:00:00+00:00,2.00,1202.53,0.3600,0.3600,0.3600,0.3600,0.3600,0.4800
KXH200MAX,KXH200MAX-26DEC31-6.690,1786420800,2026-08-11T04:00:00+00:00,2.00,1202.53,0.3800,0.3800,0.3800,0.3800,0.3800,0.3900
KXH200MAX,KXH200MAX-26DEC31-6.690,1786507200,2026-08-12T04:00:00+00:00,212.14,1323.23,0.3900,0.3900,0.1900,0.2900,0.2400,0.2900
KXH200MAX,KXH200MAX-26DEC31-6.690,1786593600,2026-08-13T04:00:00+00:00,16.00,1334.23,0.2900,0.2900,0.2700,0.2700,0.5600,0.5700
KXH200MAX,KXH200MAX-26DEC31-6.690,1786680000,2026-08-14T04:00:00+00:00,45.14,1325.07,0.5600,0.5700,0.5500,0.5700,0.5600,0.5700
KXH200MAX,KXH200MAX-26DEC31-6.690,1786766400,2026-08-15T04:00:00+00:00,4.65,1320.42,0.5600,0.5600,0.5600,0.5600,0.5600,0.5700
KXH200MAX,KXH200MAX-26DEC31-6.690,1786852800,2026-08-16T04:00:00+00:00,73.48,1306.97,0.5500,0.6000,0.5300,0.6000,0.5400,0.5500
KXH200MAX,KXH200MAX-26DEC31-6.690,1787025600,2026-08-18T04:00:00+00:00,22.00,1307.44,0.5500,0.5600,0.5500,0.5600,0.5700,0.6200
KXH200MAX,KXH200MAX-26DEC31-6.690,1787112000,2026-08-19T04:00:00+00:00,9.14,1316.58,0.6400,0.6400,0.6400,0.6400,0.5800,0.6400
KXH200MAX,KXH200MAX-26DEC31-6.690,1787198400,2026-08-20T04:00:00+00:00,9.14,1316.11,0.5700,0.5700,0.5700,0.5700,0.5600,0.6100
KXH200MAX,KXH200MAX-26DEC31-6.690,1787284800,2026-08-21T04:00:00+00:00,36.15,1352.26,0.6200,0.6200,0.6200,0.6200,0.5600,0.6200
KXH200MAX,KXH200MAX-26DEC31-6.690,1787371200,2026-08-22T04:00:00+00:00,15.98,1352.26,0.5600,0.5600,0.5600,0.5600,0.5400,0.6100
KXH200MAX,KXH200MAX-26DEC31-6.690,1787457600,2026-08-23T04:00:00+00:00,6.00,1352.26,0.6000,0.6000,0.6000,0.6000,0.5700,0.6000
KXH200MAX,KXH200MAX-26DEC31-6.690,1787544000,2026-08-24T04:00:00+00:00,3.00,1352.59,0.6000,0.6000,0.6000,0.6000,0.5900,0.8300
KXH200MAX,KXH200MAX-26DEC31-6.690,1787630400,2026-08-25T04:00:00+00:00,0.00,1352.59,,,,,0.5500,0.5800
KXH200MAX,KXH200MAX-26DEC31-6.690,1787716800,2026-08-26T04:00:00+00:00,0.00,1352.59,,,,,0.5100,0.5800
KXH200MAX,KXH200MAX-26DEC31-6.690,1787803200,2026-08-27T04:00:00+00:00,1.00,1353.59,0.5700,0.5700,0.5700,0.5700,0.5500,0.5700
KXH200MAX,KXH200MAX-26DEC31-6.690,1787889600,2026-08-28T04:00:00+00:00,0.00,1353.59,,,,,0.5200,0.5700
KXH200MAX,KXH200MAX-26DEC31-6.690,1787976000,2026-08-29T04:00:00+00:00,0.00,1353.59,,,,,0.5200,0.5700
KXH200MAX,KXH200MAX-26DEC31-6.690,1788062400,2026-08-30T04:00:00+00:00,100.00,1253.59,0.5200,0.5200,0.5100,0.5100,0.5200,0.5700
KXH200MAX,KXH200MAX-26DEC31-6.390,1785556800,2026-08-01T04:00:00+00:00,95.00,1524.02,0.4100,0.5600,0.4100,0.5600,0.3300,0.8200
KXH200MAX,KXH200MAX-26DEC31-6.390,1785643200,2026-08-02T04:00:00+00:00,161.99,1535.12,0.4500,0.5700,0.3000,0.4500,0.4100,0.4200
KXH200MAX,KXH200MAX-26DEC31-6.390,1785729600,2026-08-03T04:00:00+00:00,141.02,1554.66,0.4200,0.4500,0.4200,0.4400,0.4300,0.4400
KXH200MAX,KXH200MAX-26DEC31-6.390,1785816000,2026-08-04T04:00:00+00:00,16.44,1562.10,0.4500,0.5000,0.4500,0.5000,0.4500,0.4900
KXH200MAX,KXH200MAX-26DEC31-6.390,1785902400,2026-08-05T04:00:00+00:00,2.00,1562.10,0.6700,0.6700,0.6700,0.6700,0.6500,0.7300
KXH200MAX,KXH200MAX-26DEC31-6.390,1785988800,2026-08-06T04:00:00+00:00,56.00,1562.10,0.6500,0.6500,0.6400,0.6400,0.5500,0.6300
KXH200MAX,KXH200MAX-26DEC31-6.390,1786075200,2026-08-07T04:00:00+00:00,15.65,1564.75,0.6300,0.7400,0.6300,0.6700,0.5500,0.5600
KXH200MAX,KXH200MAX-26DEC31-6.390,1786161600,2026-08-08T04:00:00+00:00,11.00,1575.75,0.5600,0.5600,0.5600,0.5600,0.5800,0.6900
KXH200MAX,KXH200MAX-26DEC31-6.390,1786248000,2026-08-09T04:00:00+00:00,2.00,1576.75,0.6900,0.7000,0.6900,0.7000,0.6900,0.7000
KXH200MAX,KXH200MAX-26DEC31-6.390,1786334400,2026-08-10T04:00:00+00:00,11.00,1587.75,0.7000,0.7000,0.7000,0.7000,0.7300,0.7400
KXH200MAX,KXH200MAX-26DEC31-6.390,1786507200,2026-08-12T04:00:00+00:00,58.88,1560.33,0.7300,0.7300,0.3900,0.6400,0.6400,0.6500
KXH200MAX,KXH200MAX-26DEC31-6.390,1786593600,2026-08-13T04:00:00+00:00,0.00,1560.33,,,,,0.6400,0.6500
KXH200MAX,KXH200MAX-26DEC31-6.390,1786680000,2026-08-14T04:00:00+00:00,5.92,1564.33,0.6400,0.6400,0.6400,0.6400,0.6300,0.6400
KXH200MAX,KXH200MAX-26DEC31-6.390,1786766400,2026-08-15T04:00:00+00:00,1.00,1563.33,0.6300,0.6300,0.6300,0.6300,0.6300,0.6400
KXH200MAX,KXH200MAX-26DEC31-6.390,1786852800,2026-08-16T04:00:00+00:00,71.92,1563.33,0.6500,0.6600,0.6500,0.6600,0.6400,0.6700
KXH200MAX,KXH200MAX-26DEC31-6.390,1786939200,2026-08-17T04:00:00+00:00,1.38,1563.33,0.6400,0.6400,0.6400,0.6400,0.6300,0.6400
KXH200MAX,KXH200MAX-26DEC31-6.390,1787025600,2026-08-18T04:00:00+00:00,1.38,1563.33,0.6500,0.6500,0.6500,0.6500,0.6200,0.7000
KXH200MAX,KXH200MAX-26DEC31-6.390,1787112000,2026-08-19T04:00:00+00:00,6.99,1570.32,0.7000,0.7000,0.7000,0.7000,0.6400,0.7000
KXH200MAX,KXH200MAX-26DEC31-6.390,1787198400,2026-08-20T04:00:00+00:00,7.99,1562.33,0.6300,0.6300,0.6200,0.6200,0.6500,0.7100
