date,totalTokens,totalGrowthIndex,labs
2026-06-04,1749947219111,100.0,"[{'lab': 'anthropic', 'totalTokens': 850713173978, 'growthIndex': 100, 'share': 0.4861364758247825}, {'lab': 'openai', 'totalTokens': 314682003392, 'growthIndex': 100, 'share': 0.17982371122705249}, {'lab': 'google', 'totalTokens': 584552041741, 'growthIndex': 100, 'share': 0.33403981294816504}]"
2026-06-05,1644110367665,93.95199750654383,"[{'lab': 'anthropic', 'totalTokens': 734217833912, 'growthIndex': 86.30615539650587, 'share': 0.4465745416804053}, {'lab': 'openai', 'totalTokens': 347844913868, 'growthIndex': 110.53854688813867, 'share': 0.211570294007705}, {'lab': 'google', 'totalTokens': 562047619885, 'growthIndex': 96.15014228861916, 'share': 0.3418551643118897}]"
2026-06-06,1262064890603,72.12016892967482,"[{'lab': 'anthropic', 'totalTokens': 624929762816, 'growthIndex': 73.45951396212433, 'share': 0.4951645255874409}, {'lab': 'openai', 'totalTokens': 222143589267, 'growthIndex': 70.59303896393315, 'share': 0.1760159805735998}, {'lab': 'google', 'totalTokens': 414991538520, 'growthIndex': 70.99308682320404, 'share': 0.3288194938389593}]"
2026-06-07,1383467587810,79.05767515164386,"[{'lab': 'anthropic', 'totalTokens': 765537732933, 'growthIndex': 89.9877604284987, 'share': 0.553347067671336}, {'lab': 'openai', 'totalTokens': 222844421174, 'growthIndex': 70.81575011342554, 'share': 0.16107671993006936}, {'lab': 'google', 'totalTokens': 395085433703, 'growthIndex': 67.58772624013042, 'share': 0.2855762123985947}]"
2026-06-08,1895291208878,108.30562134558761,"[{'lab': 'anthropic', 'totalTokens': 1016539370434, 'growthIndex': 119.49260943974618, 'share': 0.53634996335776}, {'lab': 'openai', 'totalTokens': 316839951094, 'growthIndex': 100.68575504119688, 'share': 0.16717217365323359}, {'lab': 'google', 'totalTokens': 561911887350, 'growthIndex': 96.12692236544589, 'share': 0.2964778629890064}]"
2026-06-09,1928366675107,110.19570499312772,"[{'lab': 'anthropic', 'totalTokens': 1019189361608, 'growthIndex': 119.80411174805164, 'share': 0.5285246705227614}, {'lab': 'openai', 'totalTokens': 340293804639, 'growthIndex': 108.13894692766885, 'share': 0.17646737471239385}, {'lab': 'google', 'totalTokens': 568883508860, 'growthIndex': 97.31956579360606, 'share': 0.29500795476484476}]"
2026-06-10,2053277713978,117.33369392827153,"[{'lab': 'anthropic', 'totalTokens': 1105598828428, 'growthIndex': 129.96140911491182, 'share': 0.5384555732044759}, {'lab': 'openai', 'totalTokens': 374419951080, 'growthIndex': 118.98359202117584, 'share': 0.182352318213498}, {'lab': 'google', 'totalTokens': 573258934470, 'growthIndex': 98.06807495918324, 'share': 0.27919210858202603}]"
2026-06-11,2165403781385,123.74109103045168,"[{'lab': 'anthropic', 'totalTokens': 1187031779745, 'growthIndex': 139.5337248857154, 'share': 0.5481803393664392}, {'lab': 'openai', 'totalTokens': 373542573624, 'growthIndex': 118.70477802910047, 'share': 0.17250481265211462}, {'lab': 'google', 'totalTokens': 604829428016, 'growthIndex': 103.46887613540908, 'share': 0.2793148479814462}]"
2026-06-12,1966989250767,112.40277588293553,"[{'lab': 'anthropic', 'totalTokens': 1011790217579, 'growthIndex': 118.93435396654215, 'share': 0.5143852297029414}, {'lab': 'openai', 'totalTokens': 377350743670, 'growthIndex': 119.91494257774042, 'share': 0.19184179248710045}, {'lab': 'google', 'totalTokens': 577848289518, 'growthIndex': 98.853181283392, 'share': 0.2937729778099581}]"
2026-06-13,1505711923608,86.04327645795652,"[{'lab': 'anthropic', 'totalTokens': 758124314627, 'growthIndex': 89.11632472810462, 'share': 0.5034989115383878}, {'lab': 'openai', 'totalTokens': 282920048612, 'growthIndex': 89.90665038431382, 'share': 0.18789786025873031}, {'lab': 'google', 'totalTokens': 464667560369, 'growthIndex': 79.49122185683551, 'share': 0.30860322820288194}]"
